Date,LKOH,GAZP,SBER,TATN,NVTK,Index
2014-01-06,1990.2,135.24,98.91,200.4,393.11,693.7461321601824
2014-01-08,1959.1,137.05,98.19,197.12,389.79,684.3926632364098
2014-01-09,1979.1,138.71,98.0,199.11,385.7,690.4557416007735
2014-01-10,1991.6,139.78,99.2,199.69,387.35,694.8670790542714
2014-01-13,2001.1,138.89,100.25,201.5,396.8,698.6579357604764
2014-01-14,1980.0,137.4,99.24,197.2,399.0,691.6105865002066
2014-01-15,1999.9,137.39,100.77,198.41,400.4,698.0040388828701
2014-01-16,1979.6,137.3,100.65,198.05,394.1,691.4784063865883
2014-01-17,1978.4,137.2,101.17,199.5,400.2,691.920519786639
2014-01-20,1998.5,139.75,101.96,199.19,405.12,699.020264129348
2014-01-21,2000.5,145.71,102.2,200.39,405.8,701.456567999085
2014-01-22,2001.4,146.15,102.17,199.2,405.1,701.6365212865608
2014-01-23,1978.1,145.8,101.7,201.07,416.0,695.8277138889595
2014-01-24,1956.9,146.7,99.7,198.0,408.68,688.4629235902652
2014-01-27,1961.9,147.79,97.78,197.36,406.0,689.4355410922474
2014-01-28,1973.3,147.43,97.36,193.79,391.3,690.8687801205467
2014-01-29,1960.0,147.8,95.98,197.14,389.98,687.0325265017393
2014-01-30,1997.9,147.29,95.8,199.21,390.98,698.1534456398838
2014-01-31,1989.0,145.05,94.7,195.49,393.45,694.5061625565406
2014-02-03,1966.8,141.57,94.66,192.62,388.51,686.3765256483042
2014-02-04,1970.1,140.9,94.07,188.96,386.7,686.4475791946697
2014-02-05,1965.0,141.9,95.45,193.09,395.52,686.7971980402593
2014-02-06,1969.1,143.62,96.62,199.59,400.47,689.8819679421882
2014-02-07,1975.1,146.56,96.53,201.89,407.84,693.2866235120739
2014-02-10,1988.1,146.83,95.47,203.32,403.81,696.6776209208413
2014-02-11,2015.5,147.5,96.12,207.49,409.65,705.9273543384356
2014-02-12,2028.2,148.44,96.84,212.66,415.25,711.09511556755
2014-02-13,2023.0,145.97,95.5,210.2,410.27,707.8914154927302
2014-02-14,2039.3,149.0,96.65,212.12,417.43,714.5475096606151
